path,bytes,class,why
docs/statutes/_inbox/B/vatca-s063.html,24629,duplicate,docs/statutes/vatca-2010-revised/s063.html
docs/statutes/_inbox/B/vatca-s063.md,5761,duplicate,docs/statutes/vatca-2010-revised/s063.md
docs/statutes/_inbox/B/vatca-s064.html,100683,duplicate,docs/statutes/vatca-2010-revised/s064.html
docs/statutes/_inbox/B/vatca-s064.md,31538,duplicate,docs/statutes/vatca-2010-revised/s064.md
docs/statutes/_inbox/B/vatca-s067.html,22050,duplicate,docs/statutes/vatca-2010-revised/s067.html
docs/statutes/_inbox/B/vatca-s067.md,4197,duplicate,docs/statutes/vatca-2010-revised/s067.md
docs/statutes/_inbox/B/vatca-s068.html,24187,duplicate,docs/statutes/vatca-2010-revised/s068.html
docs/statutes/_inbox/B/vatca-s068.md,5186,duplicate,docs/statutes/vatca-2010-revised/s068.md
docs/statutes/_inbox/B/vatca-s069.html,15318,duplicate,docs/statutes/vatca-2010-revised/s069.html
docs/statutes/_inbox/B/vatca-s069.md,2848,duplicate,docs/statutes/vatca-2010-revised/s069.md
docs/statutes/_inbox/B/vatca-s070.html,14002,duplicate,docs/statutes/vatca-2010-revised/s070.html
docs/statutes/_inbox/B/vatca-s070.md,1277,duplicate,docs/statutes/vatca-2010-revised/s070.md
docs/statutes/_inbox/B/vatca-s082.html,20795,original,docs/statutes/_inbox/B/vatca-s082.md
docs/statutes/_inbox/B/vatca-s082.md,3672,unreferenced,
docs/statutes/_inbox/B/vatca-s083.html,15794,original,docs/statutes/_inbox/B/vatca-s083.md
docs/statutes/_inbox/B/vatca-s083.md,2492,unreferenced,
docs/statutes/_inbox/B/vatca-s087.html,55358,duplicate,docs/statutes/vatca-2010-revised/s087.html
docs/statutes/_inbox/B/vatca-s087.md,16311,duplicate,docs/statutes/vatca-2010-revised/s087.md
docs/statutes/_inbox/B/vatca-s088.html,23496,duplicate,docs/statutes/vatca-2010-revised/s088.html
